"Mturk_id","Condition","decay_value","SyncRate_Value"
"A1CH3TODZNQCES","NS",0.32,0.76
"A1CUDX7TTS2W61","1-Sided-DT_FI",0.69,0.66
"A1CX684F5TEO5W","NS",0.11,0.82
"A1D0JL4MJ7XSGV","1-Sided-psse_FI",0.43,0.68
"A1DABMXVWWL0TR","2-Sided-LR",2.67,0.7
"A1DD23J1WBGQUU","2-SidedDT",2.72,0.74
"A1DDBGQDMZZ1VW","1-Sided-DT_FI",0.13,0.76
"A1DIGREVLNOXT3","1-Sided-DT_FI",0.24,0.7
"A1DIGREVLNOXT3","1-Sided-psse_FI",1.74,0.46
"A1DIW2K1J89CMO","1-Sided-psse",2.39,0.62
"A1DKVUTOBPQH11","1-Sided-DT_FI",2.16,0.84
"A1DNJ17PE2RYJZ","2-Sided-LR",0.46,0.88
"A1DS5O8MSI3ZH0","2-Sided-LR",0.24,0.82
"A1DUPOUC9RNU4L","NS-ER",0.93,0.64
"A1DY3EW6Q0B5K5","2-Sided-LR",0.12,0.8
"A1DZMZTXWOM9MR","2-Sided-NN",2.32,0.64
"A1E4K9G6ZKPKX4","NS-ER",1.19,0.76
"A1E8X6IHTIN1AT","2-Sided-NN",2.96,0.74
"A1E94U14N16SYJ","1-Sided-psse",0.88,0.78
"A1EBVJWBNNPUFU","1-Sided-psse_FI",0.25,0.82
"A1EDMN0J522ATZ","1-Sided-CogSig",0.1,0.66
"A1EH9BPKYXFBS5","1-Sided-ER_FI",2.22,0.74
"A1EITLFAMKA61U","2-Sided-NN",3,0.36
"A1EITLFAMKA61U","NS-ER",2.91,0.74
"A1ERMRNNR0CZ2Y","2-SidedDT",1.75,0.68
"A1F1BIPJR11LSR","2-SidedDT",1.68,0.8
"A1F1OZ54G177D8","2-SidedDT",0.21,0.7
"A1F1OZ54G177D8","NS",0.93,0.82
"A1F1OZ54G177D8","NS-ER",2.88,0.72
"A1F3QNQHIL7K4U","1-Sided-ER_FI",0.82,0.84
"A1FCD2XCRJ2UOY","2-Sided-NN",0.66,0.5
"A1FS8SBR4SDWYG","1-Sided-CogSig",0.1,0.62
"A1FS8SBR4SDWYG","2-Sided-pesse_FI",0.65,0.74
"A1FUR4UJ0S46W6","2-Sided-pesse_FI",1.13,0.68
"A1FYFBIFYWTMJS","1-Sided-CogSig",1.86,0.84
"A1FYWSPNO7KN1O","1-Sided-DT_FI",1.74,0.76
"A1FYWSPNO7KN1O","2-Sided-pesse_FI",0.44,0.8
"A1GKD3NG1NNHRP","1-Sided-DT_FI",1.17,0.76
"A1GKD3NG1NNHRP","2-SidedDT",0.15,0.76
"A1GPZ5REMDQZ0L","NS",0.13,0.74
"A1GRPIBHW72HDU","1-Sided-ER_FI",2.44,0.82
"A1GRPIBHW72HDU","2-Sided-LR",2.46,0.76
"A1GRPIBHW72HDU","NS",0.18,0.92
"A1GSIR59HGF3SZ","2-Sided-pesse_FI",0.57,0.84
"A1H8I7FOW3HWD3","1-Sided-psse_FI",3,0.66
"A1HIQZEC2ER7GS","NS",0.16,0.86
"A1HKCTDOTL6C9I","1-Sided-psse",2.55,0.76
"A1HN4550TIXQBZ","NS",0.7,0.98
"A1ICXZVLIZM6IF","1-Sided-psse_FI",2.66,0.72
"A1ICZ6VHY7Y2OY","1-Sided-psse_FI",1.78,0.72
"A1IDAOL2MZ3L3L","1-Sided-CogSig",0.66,0.68
"A1IMO5XR05U7S5","1-Sided-CogSig",2.78,0.5
"A1IMO5XR05U7S5","2-Sided-pesse_FI",0.19,0.76
"A1IXH2QLUU5BKZ","1-Sided-psse_FI",1.67,0.7
"A1J8TVICSRC70W","2-Sided-NN",0.86,0.68
"A1JQ4KBFW7U3N1","2-SidedDT",0.64,0.7
"A1JS6T809ORXEF","1-Sided-ER_FI",2.64,0.74
"A1K0S514CEY1UG","NS-ER",1.94,0.74
"A1K75ALN5NQIJM","2-Sided-NN",2.41,0.8
"A1K8QNLYYYX21W","2-Sided-pesse_FI",0.65,0.82
"A1KA64FR47O9FS","1-Sided-DT_FI",1.85,0.78
"A1KQWBK5WHCNYQ","1-Sided-psse_FI",0.36,0.88
"A1KS8EZV7U2D3O","1-Sided-psse_FI",1.16,0.62
"A1KTPYX40PRLVW","2-SidedDT",1.23,0.88
"A1KUW26JP1SB9","1-Sided-ER_FI",2.9,0.64
"A1KX1CMLUCQNFX","1-Sided-psse_FI",0.17,0.78
"A1L3937MY09J3I","1-Sided-psse_FI",0.22,0.7
"A1L3937MY09J3I","2-Sided-pesse_FI",0.32,0.8
"A1LB9JOMFQ1UMG","1-Sided-psse",0.1,0.72
"A1LJKHC0NH9TIX","2-Sided-LR",2.54,0.72
"A1LRJ4U04532TM","NS",2.28,0.68
"A1LUQFFMIXMYNI","2-Sided-NN",2.43,0.64
"A1M40RACC8SUOX","1-Sided-DT_FI",2.7,0.9
"A1MG7LT2628KLU","2-SidedDT",0.45,0.88
"A1MJVTR0PCKBWW","2-SidedDT",0.39,0.74
"A1MMC6X3ZNJ9OT","1-Sided-DT_FI",0.57,0.7
"A1N16ZU0FNQEY6","2-SidedDT",2.14,0.8
"A1NDMFN9A5G25G","1-Sided-CogSig",2.79,0.78
"A1NGABF082HR2P","1-Sided-ER_FI",0.32,0.8
"A1NKBXOTZAI1YK","2-SidedDT",0.79,0.74
"A1NSHNH3MNFRGW","1-Sided-psse",1.36,0.76
"A1OBB3PWYWK9KK","2-SidedDT",0.35,0.74
"A1ODA3Q5H6HTDQ","1-Sided-DT_FI",0.11,0.82
"A1ORIURWIK9MG6","2-Sided-pesse_FI",0.17,0.68
"A1OU8F92A7M3MR","2-SidedDT",2.79,0.72
"A1P6OXEJ86HQRM","1-Sided-psse",1.85,0.76
"A1P6OXEJ86HQRM","2-Sided-pesse_FI",0.51,0.88
"A1PF01FF85HUY4","NS",0.18,0.7
"A1PKCBFB4QY19G","1-Sided-DT_FI",0.84,0.94
"A1PKCBFB4QY19G","NS",0.31,0.96
"A1PMZUBGXFANCI","1-Sided-CogSig",0.65,0.8
"A1PP6DN7HB6Q9P","NS-ER",2.94,0.74
"A1PRJV4523QZ14","1-Sided-ER_FI",2.63,0.86
"A1PUHCEBSOWETV","2-Sided-pesse_FI",2.8,0.78
"A1PZGWWHXS1B3T","1-Sided-psse_FI",1.04,0.7
"A1PZS3UIH64YP7","1-Sided-ER_FI",2.68,0.74
"A1QA5EWFMNKGTA","1-Sided-psse",2.48,0.8
"A1QEQOI98976S0","1-Sided-DT_FI",2.95,0.68
"A1QGG767E07WBA","1-Sided-CogSig",1.51,0.76
"A1QIJ94TJ6FZ2W","1-Sided-psse",1.88,0.74
"A1QKIA8XRNEXIG","2-Sided-LR",0.93,0.62
"A1QL4VU9DO5DXG","1-Sided-psse",2.38,0.78
"A1QQQ7KKM896QY","1-Sided-CogSig",2.15,0.58
"A1RDRK3QTM7U96","2-SidedDT",0.36,0.62
"A1RUURPQJ14A8X","2-Sided-LR",0.6,0.8
"A1S343QA01CPGR","1-Sided-psse_FI",1.08,0.7
"A1SHLWKA0UH1IS","2-Sided-NN",0.31,0.78
"A1SL65Z68BK1UT","1-Sided-ER_FI",2.23,0.8
"A1SP3GBRZKMWZJ","2-Sided-pesse_FI",1.45,0.7
"A1SQC3067DP5TB","1-Sided-psse_FI",0.22,0.82
"A1SYD7ZZXEXKD6","1-Sided-ER_FI",0.79,0.82
"A1T9KDKDFO114S","1-Sided-psse_FI",0.47,0.78
"A1TARNH07A75CG","1-Sided-CogSig",1.57,0.86
"A1TARNH07A75CG","2-Sided-pesse_FI",1.29,0.68
"A1TARNH07A75CG","NS",0.26,0.96
"A1TARNH07A75CG","NS-ER",1.35,0.88
"A1TGV7LT6LTIQU","1-Sided-ER_FI",0.27,0.8
"A1TGV7LT6LTIQU","2-Sided-NN",1.07,0.7
"A1TLNLB9D87H6","1-Sided-psse",2.11,0.62
"A1TP0SGMUSJ34B","2-Sided-pesse_FI",2.92,0.78
"A1TTFE7OTLIJW8","1-Sided-psse",0.67,0.8
"A1U7MJ0OWPBNO4","2-SidedDT",0.72,0.8
"A1U8RH67FLZW87","2-Sided-LR",2.17,0.86
"A1UA911OAE2KFJ","1-Sided-psse",0.23,0.82
"A1UBV2NP7OVDVV","2-Sided-pesse_FI",2.98,0.74
"A1UCB0D27PY623","1-Sided-ER_FI",2.65,0.88
"A1UCB0D27PY623","1-Sided-psse_FI",2.86,0.62
"A1USR9JCAMDGM3","2-Sided-pesse_FI",2.75,0.68
"A1USR9JCAMDGM3","NS",0.17,0.88
"A1V2H0UF94ATWY","2-Sided-pesse_FI",0.21,0.58
"A1V2P0JYPD7GM6","NS-ER",2.76,0.62
"A1V9G7V6ZYACIR","NS",0.33,0.76
"A1VC6F0FYG1L5I","1-Sided-ER_FI",1.8,0.88
"A1VR49TB3Q4BV8","2-SidedDT",1.81,0.76
"A1W94PV0BS6F6O","2-Sided-NN",2.89,0.74
"A1WISFBL3J5Z12","1-Sided-CogSig",1.25,0.68
"A1WPAJXO9G3B0F","1-Sided-psse",2.79,0.64
"A1WPAJXO9G3B0F","2-Sided-pesse_FI",0.77,0.78
"A1WXPOLDS1Y9R4","2-SidedDT",1.63,0.56
"A1WY3YGT618GC0","2-Sided-pesse_FI",0.12,0.68
"A1WY3YGT618GC0","NS-ER",2.24,0.84
"A1X04W4VU2I2CY","2-Sided-NN",1.69,0.74
"A1X14SEMW60XVP","NS",0.39,0.98
"A1X1IRFYQZ40LD","1-Sided-CogSig",2.9,0.74
"A1XAOEDK0Y2KBT","NS",0.33,0.88
"A1XB671UQA34Q8","1-Sided-DT_FI",1.82,0.96
"A1Y9VA9FKJLS5K","NS-ER",2.82,0.7
"A1YBZWXXW358IF","2-SidedDT",2.69,0.82
"A1YEKEYDH0ZQN7","1-Sided-ER_FI",2.44,0.66
"A1YH2I4Y2SYAXJ","2-Sided-pesse_FI",2.86,0.7
"A1YHIQHLLLQIIQ","2-Sided-pesse_FI",0.78,0.8
"A1YZ0ETOCJO1B2","1-Sided-DT_FI",2.91,0.76
"A1Z8AOIDT5IV43","1-Sided-ER_FI",0.13,0.86
"A1ZB2NY0F9QNP0","1-Sided-CogSig",1.02,0.82
"A1ZB2NY0F9QNP0","2-Sided-pesse_FI",2.61,0.82
"A1ZD8RU6YB0VEU","2-SidedDT",0.46,0.82
"A1ZD8RU6YB0VEU","NS-ER",2.92,0.76
"A1ZI4VU6650Q8B","1-Sided-DT_FI",2.1,0.76
"A1ZK3LRUC4ICY7","NS",0.4,0.74
"A1ZKNQJO513B3W","2-Sided-LR",0.91,0.78
"A1ZN6V0PU8VVAH","2-SidedDT",1.61,0.68
"A1ZN6V0PU8VVAH","NS-ER",2.9,0.82
"A1ZSSOZWM2MDCW","NS-ER",2.54,0.68
"A1ZT30BGR3266K","1-Sided-CogSig",0.84,0.58
"A1ZT30BGR3266K","2-Sided-pesse_FI",1.34,0.46
"A1ZTSCPETU3UJW","1-Sided-psse_FI",2.19,0.62
"A1ZY2UA462KD1T","2-SidedDT",0.83,0.84
"A1ZZ44UDY2GOGZ","1-Sided-DT_FI",0.54,0.86
"A1nvjb5o4h7zcj","1-Sided-DT_FI",1.23,0.74
"A200NV0C7HGET2","NS-ER",0.18,0.82
"A2027WQ76J46Q9","NS",1.12,0.84
"A203C9REA20IT3","1-Sided-psse",0.67,0.5
"A203N4FQBD94ZS","1-Sided-psse_FI",1.86,0.7
"A204JAK7QRDWVM","2-Sided-LR",2.65,0.82
"A207149DHAS89K","1-Sided-CogSig",0.51,0.86
"A20CZCJPRP54G9","1-Sided-psse",2.63,0.52
"A20CZCJPRP54G9","2-Sided-pesse_FI",0.13,0.92
"A20HITED8LB7O5","2-SidedDT",0.53,0.8
"A20MOTHAE8JNVU","2-Sided-NN",2.41,0.8
"A20RVM3V1A3DKX","NS-ER",2.81,0.94
"A20SL254675EOK","2-SidedDT",2.09,0.86
